condition,arm,seed,strict_nonmath_dedup,strict_math_dedup,strict_all_dedup,permissive_full400,strict_full400,truncation_full400,empty_box_full400,declaration_full400
A_seed42,A,42,0.10416666666666667,1.0,0.22020725388601037,0.225,0.225,0.0,0.0,0.0
A_seed43,A,43,0.08928571428571429,1.0,0.20725388601036268,0.2075,0.2075,0.005,0.0,0.0
A_seed44,A,44,0.11607142857142858,1.0,0.23056994818652848,0.235,0.235,0.0025,0.0,0.0
B_broad_seed42,B_broad,42,0.9583333333333334,1.0,0.9637305699481865,1.0,0.965,0.0125,1.0,1.0
B_broad_seed43,B_broad,43,0.9494047619047619,1.0,0.9559585492227979,1.0,0.9575,0.0025,1.0,1.0
B_broad_seed44,B_broad,44,0.9285714285714286,1.0,0.9378238341968912,1.0,0.94,0.0025,1.0,1.0
C_masked_seed42,C_masked,42,0.9791666666666666,1.0,0.9818652849740933,1.0,0.9825,0.0075,1.0,1.0
C_masked_seed43,C_masked,43,0.9732142857142857,1.0,0.9766839378238342,1.0,0.9775,0.0,1.0,1.0
C_masked_seed44,C_masked,44,0.9702380952380952,1.0,0.9740932642487047,1.0,0.975,0.0025,1.0,1.0
base,base,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
